symbol,side,entry_price,close_price,size,pnl,close_reason,opened_at,closed_at
FARTCOIN/USDT:USDT,LONG,0.17861,0.17636,55.987907,-0.125973,SL,2026-03-26 22:50:23.140935,2026-03-26 23:25:07.746244
TAO/USDT:USDT,LONG,337.16,338.16,0.02966,0.02966,TIME,2026-03-26 22:34:57.457793,2026-03-26 23:35:00.729034
XAUT/USDT:USDT,LONG,4405.4,4404.4,0.00227,-0.00227,TIME,2026-03-26 22:35:39.992640,2026-03-26 23:37:21.593745
HYPE/USDT:USDT,LONG,39.045,39.045,0.256115,0.0,TIME,2026-03-26 22:40:52.595993,2026-03-26 23:41:03.705492
1000PEPE/USDT:USDT,LONG,0.003423,0.003402,2921.413964,-0.06135,TIME,2026-03-26 23:13:29.692004,2026-03-27 00:37:56.016300
FARTCOIN/USDT:USDT,LONG,0.17401,0.17225,57.467962,-0.101144,SL,2026-03-27 03:02:13.317676,2026-03-27 03:11:33.060660
TAO/USDT:USDT,LONG,342.32,338.82,0.029212,-0.102242,SL,2026-03-27 03:03:11.468124,2026-03-27 03:11:33.060782
STO/USDT:USDT,LONG,0.10295,0.10182,97.134531,-0.109762,SL,2026-03-27 16:43:32.626968,2026-03-27 17:03:12.824012
AXS/USDT:USDT,LONG,1.1185,1.1094,8.940545,-0.081359,TIME,2026-03-27 17:12:38.894681,2026-03-28 00:01:19.802988
CL/USDT:USDT,LONG,98.496,101.181,0.101527,0.2726,TP,2026-03-27 17:16:15.487231,2026-03-28 00:01:19.803090
SIGN/USDT:USDT,LONG,0.03238,0.0326,308.832613,0.067943,TIME,2026-03-27 17:20:17.985551,2026-03-28 00:01:19.803151
ESPORTS/USDT:USDT,LONG,0.36326,0.35486,27.528492,-0.231239,SL,2026-03-27 17:18:18.568428,2026-03-28 00:03:36.023763
NOM/USDT:USDT,LONG,0.001916,0.001891,5219.206681,-0.13048,SL,2026-03-28 10:46:40.574616,2026-03-28 10:51:52.828606
KAS/USDT:USDT,LONG,0.03549,0.03509,281.769513,-0.112708,SL,2026-03-28 10:44:20.605009,2026-03-28 11:05:46.953081
GUN/USDT:USDT,SHORT,0.017506,0.017319,571232.72021,106.820519,SL,2026-03-28 14:58:21.472197,2026-03-28 15:04:15.913896
KAITO/USDT:USDT,LONG,0.3967,0.3947,25207.965717,-50.415931,TIME,2026-03-28 16:12:01.697331,2026-03-28 17:19:34.411827
IMX/USDT:USDT,SHORT,0.14945,0.14926,66912.010706,12.713282,TIME,2026-03-28 16:12:01.701602,2026-03-28 17:19:34.411982
CC/USDT:USDT,SHORT,0.14948,0.14962,66898.58175,-9.365801,TIME,2026-03-28 16:12:01.705423,2026-03-28 17:19:34.412099
DEEP/USDT:USDT,LONG,0.0264,0.0265,378787.878788,37.878788,TIME,2026-03-28 16:12:01.709519,2026-03-28 17:19:34.412203
ROAM/USDT:USDT,SHORT,0.039863,0.039877,250859.192735,-3.512029,TIME,2026-03-28 16:12:01.713011,2026-03-28 17:19:34.412303
RIVER/USDT:USDT,LONG,13.526,13.691,739.316871,121.987284,TP1,2026-03-29 11:12:16.961115,2026-03-29 11:15:34.135918
NOM/USDT:USDT,SHORT,0.002458,0.002433,4068348.25061,101.708706,TP1,2026-03-29 13:55:23.425688,2026-03-29 14:03:55.432115
XRP/USDT:USDT,LONG,1.3075,1.3224,7648.183556,113.957935,TP1,2026-03-29 22:55:21.921267,2026-03-29 22:56:30.183363
SIREN/USDT:USDT,SHORT,1.75585,1.7794,5695.247316,-134.123074,SL,2026-03-29 23:16:58.317822,2026-03-29 23:25:30.191362
SIREN/USDT:USDT,SHORT,1.75142,1.81379,5709.652739,-356.111041,SL,2026-03-30 00:10:46.981251,2026-03-30 00:15:50.837979
KITE/USDT:USDT,LONG,0.15941,0.1611,62731.321749,106.015934,TP1,2026-03-30 00:10:46.999398,2026-03-30 00:15:50.839050
ARIA/USDT:USDT,SHORT,0.36073,0.36515,27721.564605,-122.529316,SL,2026-03-30 00:10:47.009052,2026-03-30 00:15:50.839512
BSB/USDT:USDT,SHORT,0.2605,0.265,38387.715931,-172.744722,SL,2026-03-30 00:10:46.983545,2026-03-30 00:20:55.066339
SENT/USDT:USDT,LONG,0.018618,0.018135,537114.62026,-259.426362,SL,2026-03-30 00:10:46.992747,2026-03-30 00:20:55.067067
BR/USDT:USDT,SHORT,0.12494,0.12642,80038.418441,-118.456859,SL,2026-03-30 00:10:47.018794,2026-03-30 00:20:55.067381
CFG/USDT:USDT,SHORT,0.1659,0.1608,60277.275467,307.414105,TP1,2026-03-30 00:10:47.020972,2026-03-30 00:20:55.067633
STEEM/USDT:USDT,LONG,0.05749,0.05834,173943.294486,147.8518,TP1,2026-03-30 00:10:47.101815,2026-03-30 00:20:55.068782
TAO/USDT:USDT,LONG,315.76,322.07,31.669622,199.835315,TP1,2026-03-30 00:10:46.978970,2026-03-30 00:25:56.543316
ENA/USDT:USDT,LONG,0.08986,0.09159,111284.219898,192.5217,TP1,2026-03-30 00:10:46.985903,2026-03-30 00:25:56.544274
ZEC/USDT:USDT,LONG,214.83,219.03,46.548434,195.503423,TP1,2026-03-30 00:10:46.990672,2026-03-30 00:25:56.544636
DOT/USDT:USDT,LONG,1.2604,1.2803,7933.98921,157.886385,TP1,2026-03-30 00:10:46.995002,2026-03-30 00:25:56.544918
ARB/USDT:USDT,LONG,0.08823,0.09,113340.133741,200.612037,TP1,2026-03-30 00:10:47.001953,2026-03-30 00:25:56.545171
VIRTUAL/USDT:USDT,LONG,0.6446,0.6586,15513.496742,217.188954,TP1,2026-03-30 00:10:47.004211,2026-03-30 00:25:56.545390
CRV/USDT:USDT,LONG,0.2078,0.2114,48123.19538,173.243503,TP1,2026-03-30 00:10:47.006395,2026-03-30 00:25:56.545643
WIF/USDT:USDT,LONG,0.17168,0.17418,58247.903075,145.619758,TP1,2026-03-30 00:10:47.011564,2026-03-30 00:25:56.545933
LDO/USDT:USDT,LONG,0.3004,0.3082,33288.948069,259.653795,TP1,2026-03-30 00:10:47.013744,2026-03-30 00:25:56.546177
OP/USDT:USDT,LONG,0.10189,0.10407,98145.058396,213.956227,TP1,2026-03-30 00:10:47.016627,2026-03-30 00:25:56.546427
UNI/USDT:USDT,LONG,3.355,3.409,2980.625931,160.9538,TP1,2026-03-30 00:10:47.023222,2026-03-30 00:25:56.546645
MON/USDT:USDT,LONG,0.02205,0.022308,453514.739229,117.006803,TP1,2026-03-30 00:10:47.025455,2026-03-30 00:25:56.546871
CHZ/USDT:USDT,LONG,0.04029,0.04115,248200.546041,213.45247,TP1,2026-03-30 00:10:47.027669,2026-03-30 00:25:56.547083
XPL/USDT:USDT,LONG,0.08663,0.08875,115433.452615,244.71892,TP1,2026-03-30 00:10:47.032196,2026-03-30 00:25:56.547337
RENDER/USDT:USDT,LONG,1.6497,1.6863,6061.708189,221.85852,TP1,2026-03-30 00:10:47.034604,2026-03-30 00:25:56.547602
IP/USDT:USDT,SHORT,0.5136,0.5199,19470.404984,-122.663551,SL,2026-03-30 00:10:47.039360,2026-03-30 00:25:56.547846
SAHARA/USDT:USDT,SHORT,0.024125,0.024367,414507.772021,-100.310881,SL,2026-03-30 00:10:47.041662,2026-03-30 00:25:56.548057
FIL/USDT:USDT,LONG,0.8017,0.8165,12473.493826,184.607709,TP1,2026-03-30 00:10:47.048749,2026-03-30 00:25:56.548270
AXS/USDT:USDT,SHORT,1.1143,1.1296,8974.24392,-137.305932,SL,2026-03-30 00:10:47.050984,2026-03-30 00:25:56.548477
ATOM/USDT:USDT,SHORT,1.6404,1.6636,6096.074128,-141.42892,SL,2026-03-30 00:10:47.053183,2026-03-30 00:25:56.548678
ZRO/USDT:USDT,SHORT,1.965,1.9916,5089.058524,-135.368957,SL,2026-03-30 00:10:47.055324,2026-03-30 00:25:56.548918
DYDX/USDT:USDT,SHORT,0.0942,0.09649,106157.112527,-243.099788,SL,2026-03-30 00:10:47.059865,2026-03-30 00:25:56.549116
PIXEL/USDT:USDT,SHORT,0.007626,0.007744,1311303.435615,-154.733805,SL,2026-03-30 00:10:47.061930,2026-03-30 00:25:56.549305
LIT/USDT:USDT,LONG,0.8271,0.8382,12090.436465,134.203845,TP1,2026-03-30 00:10:47.070760,2026-03-30 00:25:56.549506
POWER/USDT:USDT,SHORT,0.08145,0.08262,122774.70841,-143.646409,SL,2026-03-30 00:10:47.089157,2026-03-30 00:25:56.549745
APE/USDT:USDT,SHORT,0.08319,0.0848,120206.75562,-193.532877,SL,2026-03-30 00:10:47.093663,2026-03-30 00:25:56.549961
KERNEL/USDT:USDT,SHORT,0.07043,0.07206,141984.949595,-231.435468,SL,2026-03-30 00:10:47.095791,2026-03-30 00:25:56.550162
ENSO/USDT:USDT,LONG,1.0211,1.0335,9793.360102,121.437665,TP1,2026-03-30 00:10:47.097857,2026-03-30 00:25:56.550359
EIGEN/USDT:USDT,SHORT,0.16745,0.17035,59719.3192,-173.186026,SL,2026-03-30 00:10:47.099814,2026-03-30 00:25:56.550555
PLAYSOUT/USDT:USDT,LONG,0.06186,0.06248,161655.350792,100.226317,TP1,2026-03-30 00:10:46.988181,2026-03-30 00:30:57.773759
M/USDT:USDT,SHORT,2.2241,2.2585,4496.20071,-154.669304,SL,2026-03-30 00:10:47.044104,2026-03-30 00:30:57.774318
INJ/USDT:USDT,SHORT,2.802,2.835,3568.879372,-117.773019,SL,2026-03-30 00:10:47.057648,2026-03-30 00:30:57.774631
IOTA/USDT:USDT,SHORT,0.05353,0.05441,186811.133944,-164.393798,SL,2026-03-30 00:10:47.082398,2026-03-30 00:30:57.775908
CC/USDT:USDT,LONG,0.15093,0.15313,66255.880209,145.762936,TP1,2026-03-30 00:10:47.091458,2026-03-30 00:30:57.776408
ICNT/USDT:USDT,LONG,0.4227,0.4147,23657.440265,-189.259522,SL,2026-03-30 00:10:47.064104,2026-03-30 01:01:06.295170
PROVE/USDT:USDT,SHORT,0.2294,0.2271,43591.979076,100.261552,TP1,2026-03-30 00:10:47.066239,2026-03-30 01:01:06.295744
TRX/USDT:USDT,LONG,0.32142,0.32101,31111.940763,-12.755896,TIME,2026-03-30 00:10:46.997087,2026-03-30 01:11:04.989750
XAG/USDT:USDT,LONG,68.34,69.22,146.327188,128.767925,TP1,2026-03-30 00:10:47.029933,2026-03-30 01:11:04.990665
VANA/USDT:USDT,LONG,1.217,1.2233,8216.926869,51.766639,TIME,2026-03-30 00:10:47.036898,2026-03-30 01:11:04.991018
XMR/USDT:USDT,SHORT,327.15,330.68,30.567018,-107.901574,SL,2026-03-30 00:10:47.046520,2026-03-30 01:11:04.991271
RDNT/USDT:USDT,LONG,0.00431,0.004273,2320185.614849,-85.846868,TIME,2026-03-30 00:10:47.068465,2026-03-30 01:11:04.991516
MOODENG/USDT:USDT,SHORT,0.04797,0.04846,208463.623098,-102.147175,SL,2026-03-30 06:15:56.760477,2026-03-30 06:21:53.300366
