symbol,side,entry_price,close_price,size,pnl,close_reason,opened_at,closed_at
FARTCOIN/USDT:USDT,LONG,0.17861,0.17636,55.987907,-0.125973,SL,2026-03-26 22:50:23.140935,2026-03-26 23:25:07.746244
TAO/USDT:USDT,LONG,337.16,338.16,0.02966,0.02966,TIME,2026-03-26 22:34:57.457793,2026-03-26 23:35:00.729034
XAUT/USDT:USDT,LONG,4405.4,4404.4,0.00227,-0.00227,TIME,2026-03-26 22:35:39.992640,2026-03-26 23:37:21.593745
HYPE/USDT:USDT,LONG,39.045,39.045,0.256115,0.0,TIME,2026-03-26 22:40:52.595993,2026-03-26 23:41:03.705492
1000PEPE/USDT:USDT,LONG,0.003423,0.003402,2921.413964,-0.06135,TIME,2026-03-26 23:13:29.692004,2026-03-27 00:37:56.016300
FARTCOIN/USDT:USDT,LONG,0.17401,0.17225,57.467962,-0.101144,SL,2026-03-27 03:02:13.317676,2026-03-27 03:11:33.060660
TAO/USDT:USDT,LONG,342.32,338.82,0.029212,-0.102242,SL,2026-03-27 03:03:11.468124,2026-03-27 03:11:33.060782
STO/USDT:USDT,LONG,0.10295,0.10182,97.134531,-0.109762,SL,2026-03-27 16:43:32.626968,2026-03-27 17:03:12.824012
AXS/USDT:USDT,LONG,1.1185,1.1094,8.940545,-0.081359,TIME,2026-03-27 17:12:38.894681,2026-03-28 00:01:19.802988
CL/USDT:USDT,LONG,98.496,101.181,0.101527,0.2726,TP,2026-03-27 17:16:15.487231,2026-03-28 00:01:19.803090
SIGN/USDT:USDT,LONG,0.03238,0.0326,308.832613,0.067943,TIME,2026-03-27 17:20:17.985551,2026-03-28 00:01:19.803151
ESPORTS/USDT:USDT,LONG,0.36326,0.35486,27.528492,-0.231239,SL,2026-03-27 17:18:18.568428,2026-03-28 00:03:36.023763
NOM/USDT:USDT,LONG,0.001916,0.001891,5219.206681,-0.13048,SL,2026-03-28 10:46:40.574616,2026-03-28 10:51:52.828606
KAS/USDT:USDT,LONG,0.03549,0.03509,281.769513,-0.112708,SL,2026-03-28 10:44:20.605009,2026-03-28 11:05:46.953081
GUN/USDT:USDT,SHORT,0.017506,0.017319,571232.72021,106.820519,SL,2026-03-28 14:58:21.472197,2026-03-28 15:04:15.913896
